Hauptkategorie (neu);Unterkategorie (neu);Top-Rang;Relevanz 1-5;Produktname;Bild;Beschreibung (max. 500 Zeichen);Feature / USP (Hauptbotschaft);Sekundäre Information;Link Ferronato-Shop;Sparte/Farbe;Preis CHF exkl. MwSt;Art.-Nr.;Verfügbarkeit;Alte Shop-Unterkategorie;Begründung Top
01 Messen & Anzeichnen;Schlagschnur & Rollmeter;4;3;Lyra Cosmos Line Alu fast rewind Schlagschnurgerät;https://shop.ferronato.ch/images/product/large/7396.jpg;Robustes Schlagschnurgerät mit Fast-Rewind-Funktion für professionelle Anwendungen an Wänden, Decken und Böden. Farbige Markierungen für gerade Linien im Innen- und Aussenbereich. Markiermittellänge 30 m.;Zieht gerade Anschlaglinien auf Wand, Decke und Boden, schnelle Rückspulung.;Markiermittellänge 30 m, Preis CHF 57.00.;https://shop.ferronato.ch/de/product/7396/lyra-cosmos-line-alu-fast-rewind-schlagschnurger-t?CatID=216;Plattenleger;57.0;040-986;ab Lager;Plattenleger (Hauptkategorie);Schlagschnurgerät mit schnellem Rücklauf, Basiswerkzeug beim Anreissen.
01 Messen & Anzeichnen;Schlagschnur & Rollmeter;;2;Lyra Schlagschnurpulver 200g rot;https://shop.ferronato.ch/images/product/large/7397.jpg;Hochpigmentiertes Schlagschnurpulver, 200 g, Farbe rot, für gut sichtbare Markierungen an Wänden, Decken und Böden im Innen- und Aussenbereich. Für Hoch-/Tiefbau, Sanitär, Fliesenleger, Schreiner und Zimmermann.;Hochpigmentiertes Pulver für sehr gut sichtbare Anschlaglinien.;Inhalt 200 g, Preis CHF 8.95.;https://shop.ferronato.ch/de/product/7397/lyra-schlagschnurpulver-200g-rot?CatID=216;Plattenleger / rot;8.95;040-988;ab Lager;Plattenleger (Hauptkategorie);Verbrauchsmaterial zum Schlagschnurgerät, Nachkaufartikel.
02 Schneiden & Trennen;Fliesenschneider & Schneidetische;5;5;Fliesenschneider TRACER 1200;https://shop.ferronato.ch/images/product/large/7467.jpg;Handgeführter Fliesenschneider für Fliesen bis 1200 mm, mit zwei wechselbaren Rollen (Ø22 mm bis 10 mm Dicke, Ø12 mm für 10-15 mm dicke Fliesen). Ganzmetallführungen, verstellbare Anschläge, eingebauter grüner Laser, Schmiersystem für die Rollen. Gewicht 18 kg. Lieferumfang: Arbeitsbereichserweiterungen, Ladegerät, Laser, Schutzbrille, Ölbehälter.;Präziser handgeführter Fliesenschneider mit Laserführung bis 1200 mm Fliesenlänge.;Zwei Rollen für Fliesen bis 15 mm Dicke, Gewicht 18 kg, Preis CHF 550.00.;https://shop.ferronato.ch/de/product/7467/fliesenschneider-tracer-1200?CatID=216;Plattenleger;550.0;032-664;ab Lager;Plattenleger (Hauptkategorie);Fliesenschneider TRACER 1200, Kernanschaffung für gerade Schnitte auf der Baustelle.
02 Schneiden & Trennen;Fliesenschneider & Schneidetische;6;4;DISTAR CeraMAX 1200 TELESCOPE 2.0 Schneidetisch;https://shop.ferronato.ch/images/product/large/7866.jpg;Höhenverstellbarer Kipptisch für rückenschonendes, präzises Schneiden und Schleifen von Fliesenkanten. Verstellbereich 800-1200 mm, neigbare Arbeitsfläche für den 45°-Winkel, verstärktes 100 mm breites Aluminiumprofil mit Gummieinlagen gegen Vibrationen, Halterungen für Winkelschleifer und Plattenhalter. Arbeitsfläche 1300x780 mm.;Höhenverstellbarer Schneidetisch für rückenschonendes Arbeiten und 45°-Schnitte.;Verstellbereich 800-1200 mm, Arbeitsfläche 1300x780 mm, Preis CHF 735.00.;https://shop.ferronato.ch/de/product/7866/distar-ceramax-1200-telescope-2-0-schneidetisch?CatID=216;Plattenleger;735.0;032-665;Nicht an Lager;Plattenleger (Hauptkategorie);DISTAR CeraMAX Schneidetisch, rückenschonende Ergänzung zum Winkelschleifer.
02 Schneiden & Trennen;Kleintrennscheiben & Graviergeräte;;4;DISTAR MasterCUT Ø76 Diamanttrennscheibe trocken für Keramik;https://shop.ferronato.ch/images/product/large/7864.jpg;DISTAR MasterCUT 76-Trennscheibe für leistungsschwache 76-mm-Winkelschleifer, schneidet Feinsteinzeug, Glas und Quarzvinyl trocken oder mit Wasserkühlung. Vakuumlöttechnologie, kompakte Grösse für wendige, sichere Schnitte auch an schwer zugänglichen Stellen, Standzeit ca. 10 lfm bei 10 mm Feinsteinzeug. Aufnahme 10 mm.;Schneidet Feinsteinzeug präzise auch mit kleinen, leistungsschwachen Winkelschleifern.;Trocken- und Nassanwendung, Standzeit ca. 10 lfm, Preis CHF 19.00.;https://shop.ferronato.ch/de/product/7864/distar-mastercut-76-diamanttrennscheibe-trocken-f-r-keramik?CatID=216;Plattenleger;19.0;032-669 76;ab Lager;Diamantwerkzeuge, Diamanttrennscheiben 45mm -125mm;Preisgünstige Kleintrennscheibe mit hoher Standzeit, oft gebraucht.
02 Schneiden & Trennen;Kleintrennscheiben & Graviergeräte;;4;DISTAR MasterCut DTS trocken für Keramik & Feinsteinzeug Ø 45mm;https://shop.ferronato.ch/images/product/large/7863.jpg;DISTAR MasterCUT-Trennscheibe für Gravurgeräte, schneidet Feinsteinzeug und Keramikfliesen im Trocken- und Nassbetrieb. Seitliche Diamantschicht von ca. 10 mm eignet sich zusätzlich zum Ausräumen von Fugen vor dem Verfugen. Durchmesser 45 mm, Dicke 0.8 mm, Aufnahme 5.8 mm, Standzeit ca. 10-15 lfm.;Vielseitige Kleinscheibe zum Schneiden und Fugenausräumen in einem Werkzeug.;Trocken- und Nassanwendung, Durchmesser 45 mm, Preis CHF 13.00.;https://shop.ferronato.ch/de/product/7863/distar-mastercut-dts-trocken-f-r-keramik-feinsteinzeug-45mm?CatID=216;Plattenleger;13.0;032-669 45;ab Lager;Diamantwerkzeuge, Diamanttrennscheiben 45mm -125mm;Günstige, vielseitige DISTAR-Kleinscheibe, oft nachgekauft.
02 Schneiden & Trennen;Kleintrennscheiben & Graviergeräte;;4;PROXXON Akku Langhals - Winkelbohrmaschine LHW/A;https://shop.ferronato.ch/images/product/large/7841.jpg;Akku-Langhals-Winkelbohrmaschine für Bohren, Schleifen, Trennen und Polieren an schwer zugänglichen Stellen, ideal für Fliesenbearbeitung. Getriebekopf aus Alu-Druckguss, glasfaserverstärktes Polyamidgehäuse, stufenlose Drehzahlregelung. Drehzahlbereich 5000-16000/min, Länge 320 mm, Gewicht 760 g, inkl. MICROMOT-Spannzangen-Set, ohne Akku und Ladegerät.;Akkubetriebene Langhals-Winkelbohrmaschine für präzise Arbeiten ohne Steckdose.;Inkl. Spannzangen-Set (6 Grössen), ohne Akku/Ladegerät, Preis CHF 199.00.;https://shop.ferronato.ch/de/product/7841/proxxon-akku-langhals-winkelbohrmaschine-lhw-a?CatID=216;Plattenleger;199.0;060-210 A;ab Lager;Elektrogeräte, Mit Akku;Zentrales Präzisionswerkzeug fürs Feinsteinzeug-Bohren, starke PROXXON-Marke.
02 Schneiden & Trennen;Kleintrennscheiben & Graviergeräte;;4;PROXXON Akku Langhals - Winkelbohrmaschine LWB/A;https://shop.ferronato.ch/images/product/large/7843.png;Akku-Langhals-Winkelbohrmaschine für Bohren, Schleifen, Trennen und Polieren an schwer zugänglichen Stellen, ideal für Fliesenbearbeitung. Getriebekopf aus Alu-Druckguss, glasfaserverstärktes Polyamidgehäuse, stufenlose Drehzahlregelung. Drehzahlbereich 5000-16000/min, Länge 320 mm, Gewicht 760 g, inkl. MICROMOT-Spannzangen-Set, ohne Akku und Ladegerät.;Akkubetriebene Langhals-Winkelbohrmaschine für präzise Arbeiten ohne Steckdose.;Inkl. Spannzangen-Set (6 Grössen), ohne Akku/Ladegerät, Preis CHF 199.00.;https://shop.ferronato.ch/de/product/7843/proxxon-akku-langhals-winkelbohrmaschine-lwb-a?CatID=216;Plattenleger;199.0;060-212 A;ab Lager;Plattenleger (Hauptkategorie);Zentrales Präzisionswerkzeug fürs Feinsteinzeug-Bohren, starke PROXXON-Marke.
02 Schneiden & Trennen;Kleintrennscheiben & Graviergeräte;;4;PROXXON/DISTAR Starter Set;https://shop.ferronato.ch/images/product/large/7878.jpg;Ferronato-Starterset mit zwei PROXXON Akku-Langhals-Winkelbohrmaschinen (LHW/A und LWB/A), DISTAR Druckflasche, DISTAR MasterCut- und Butterfly-Trennscheibe Ø45mm, Spraynozzle mit Schutz, Schaumstützteller Ø50mm sowie 4 CoolPAD-Polierscheiben #1-4. Nassanwendung nur mit Akku-Maschinen.;Komplettes Einsteiger-Set für Feinbearbeitung von Feinsteinzeug zum Aktionspreis.;Enthält 2 Maschinen und alle Verbrauchszubehörteile, Preis CHF 499.00.;https://shop.ferronato.ch/de/product/7878/proxxon-distar-starter-set?CatID=216;Plattenleger;499.0;060-211 S1;Nicht an Lager;Elektrogeräte;Attraktives Komplettset zum Einstieg, spart Einzelbeschaffung.
02 Schneiden & Trennen;Kleintrennscheiben & Graviergeräte;;4;TERMIT Diamanttrennscheibe Ø76mm;https://shop.ferronato.ch/images/product/large/7472.jpg;DISTAR Termit Kleintrennscheibe in Turbo-Ausführung für ultrastarken Feinsteinzeug bis 10 mm Dicke, saubere Schnitte ohne Absplitterungen. Hohe Manövrierfähigkeit für schwer zugängliche Stellen. Durchmesser 76 mm, Diamantschicht 1.0 mm, Körperdicke 0.8 mm, Aufnahme 10 mm, Trockenanwendung.;Kleine, wendige Trennscheibe für schwer zugängliche Schnitte an dickem Feinsteinzeug.;Aufnahme 10 mm, Trockenanwendung, Preis CHF 39.00.;https://shop.ferronato.ch/de/product/7472/termit-diamanttrennscheibe-76mm?CatID=216;Plattenleger;39.0;032-668;ab Lager;Diamantwerkzeuge, Diamanttrennscheiben 45mm -125mm;Beliebte DISTAR-Kleintrennscheibe für Detailarbeiten, starke Marke.
02 Schneiden & Trennen;Kleintrennscheiben & Graviergeräte;;3;BUTTERFLY DTS Ø45mm x 0.58mm x 0.45mm trocken für Keramik & Feinsteinzeug;https://shop.ferronato.ch/images/product/large/7728.jpg;DISTAR Butterfly-Kleintrennscheibe für Schmuckpräzision beim Schneiden feiner Elemente aus Feinsteinzeug wie Knöpfe, Klappen oder Möbeldetails. Durchgehende Diamantschicht 0.6 mm für minimale Schnittbreite, hohe Steifigkeit, nur mit Wasserkühlung. Durchmesser 45 mm, Aufnahme 5.8 mm, Dorn Ø3 mm.;Präzisionsscheibe für feinste Feinsteinzeug-Details mit minimaler Schnittbreite.;Nur Nassanwendung, Durchmesser 45 mm, Preis CHF 31.00.;https://shop.ferronato.ch/de/product/7728/butterfly-dts-45mm-x-0-58mm-x-0-45mm-trocken-f-r-keramik-feinsteinzeug?CatID=216;Plattenleger;31.0;032-730;ab Lager;Diamantwerkzeuge, DISTAR Technik, Diamanttrennscheiben 45mm -125mm;Spezialscheibe für feinste Detailschnitte, gezielt eingesetzt.
02 Schneiden & Trennen;Kleintrennscheiben & Graviergeräte;;3;COLIBRI Diamanttrennscheibe Ø76mm;https://shop.ferronato.ch/images/product/large/7473.jpg;DISTAR Colibri-Kleintrennscheibe für präzise, komplexe Schnitte mit minimaler Schnittbreite, z.B. Spültasten oder Revisionsklappen. Durchgehende Diamantschicht 0.8 mm, Schnittbreite bis 1.0 mm nach Nachbearbeitung, für akku- und netzbetriebene Winkelschleifer. Durchmesser 76 mm, Aufnahme 10 mm, Trockenanwendung.;Präzisionsscheibe für feinste, komplexe Ausschnitte wie Spültasten oder Klappen.;Für Akku- und Netz-Winkelschleifer, Preis CHF 50.00.;https://shop.ferronato.ch/de/product/7473/colibri-diamanttrennscheibe-76mm?CatID=216;Plattenleger;50.0;032-666;ab Lager;Diamantwerkzeuge, Diamanttrennscheiben 45mm -125mm;Spezialscheibe für feine Ausschnitte, seltener gebraucht als Standardscheiben.
02 Schneiden & Trennen;Kleintrennscheiben & Graviergeräte;;3;PROXXON Langhals-Winkelbohrmaschine LWB/E;https://shop.ferronato.ch/images/product/large/7842.jpg;Netzbetriebene Langhals-Winkelbohrmaschine zum Trennen, Schruppen, Schleifen, Feinschleifen, Polieren und Formgeben in Stahl, NE-Metall, Glas, Keramik, Holz und Kunststoff. Balancierter DC-Spezialmotor, Getriebekopf aus Aluminium-Druckguss, glasfaserverstärktes Polyamidgehäuse. Inkl. Schleif-, Lamellen- und Trennscheibe sowie PP-Aufbewahrungskoffer.;Netzbetriebene Langhals-Winkelbohrmaschine für präzise Arbeiten an vielen Materialien.;Inkl. Zubehörscheiben und stabilem PP-Koffer, Preis CHF 128.00.;https://shop.ferronato.ch/de/product/7842/proxxon-langhals-winkelbohrmaschine-lwb-e?CatID=216;Plattenleger;128.0;060-212 E;ab Lager;Plattenleger (Hauptkategorie);Alternative zur Akku-Variante, vielseitig aber Nischenwerkzeug.
02 Schneiden & Trennen;Kleintrennscheiben & Graviergeräte;;2;Bildhauer Trennscheibefür Marmor Ø 50/6mm und 75/6 mm;https://shop.ferronato.ch/images/product/large/1678.jpg;Bildhauer-Trennscheibe für Marmor, Durchmesser 50 oder 75 mm, Bohrung 6 mm, galvanisiert D427 grob vollbelegt. Max. Drehzahl 27000 U/min (50 mm) bzw. 18000 U/min (75 mm), für Trockenanwendung. Schaftaufnahme separat erhältlich.;Galvanisierte Kleintrennscheibe für feine Marmorarbeiten.;Durchmesser 60 mm oder 75 mm, Schaft separat, ab CHF 45.00.;https://shop.ferronato.ch/de/product/1678/bildhauer-trennscheibef-r-marmor-50-6mm-und-75-6-mm?CatID=216;Plattenleger;45.0;;;Diamantwerkzeuge, Diamanttrennscheiben 45mm -125mm;Nischenprodukt für Bildhauer- und Detailarbeiten an Marmor.
02 Schneiden & Trennen;Kleintrennscheiben & Graviergeräte;;2;DISTAR Spraynozzle und Schutz für BUTTERFLY nass;https://shop.ferronato.ch/images/product/large/7852.jpg;Wasserversorgungsaufsatz Spray 115-125 für den Winkelschleifer, führt gezielt Kühlwasser in die Schneidzone beim Nassschnitt von Feinsteinzeug. Universelle Befestigung an der Schutzhaube jeder Marke, gibt eine Hand frei, minimale Wassermenge ohne unnötigen Schmutz. Zwei Düsenpositionen für 125 mm und 101.6 mm Scheiben, nur für Akku-Geräte geeignet.;Kühlt Trennscheiben beim Nassschnitt gezielt, ohne die Hand zu belasten.;Nur für Akku-Geräte, für Trennscheiben 101 und 125 mm, Preis CHF 33.00.;https://shop.ferronato.ch/de/product/7852/distar-spraynozzle-und-schutz-f-r-butterfly-nass?CatID=216;Plattenleger;33.0;032-731;ab Lager;Diamantwerkzeuge, Diamanttrennscheiben 45mm -125mm;Zubehör für Wasserkühlung, für Standardanwendung nicht zwingend nötig.
02 Schneiden & Trennen;Kleintrennscheiben & Graviergeräte;;2;DISTAR Spraynozzle und Schutz für BUTTERFLY nass für Keramik & Feinsteinzeug - Proxxon;https://shop.ferronato.ch/images/product/large/7868.jpg;Spraynozzle mit Schutz für die Butterfly-Trennscheibe am Proxxon-Gerät, führt Kühlwasser gezielt in die Schneidzone. Lieferung mit 2 Meter Schlauch, ohne Diamanttrennscheibe und Proxxon-Gerät. Für 45 mm Trennscheiben.;Kühlt die Butterfly-Trennscheibe am Proxxon-Gravurgerät gezielt mit Wasser.;Inkl. 2 m Schlauch, für 45 mm Trennscheiben, Preis CHF 58.00.;https://shop.ferronato.ch/de/product/7868/distar-spraynozzle-und-schutz-f-r-butterfly-nass-f-r-keramik-feinsteinzeug-proxxon?CatID=216;Plattenleger;58.0;032-731 SA;ab Lager;Diamantwerkzeuge, Diamanttrennscheiben 45mm -125mm;Zubehörteil für das Proxxon-Nassschnitt-System, gezielter Bedarf.
02 Schneiden & Trennen;Kleintrennscheiben & Graviergeräte;;2;DISTAR Support Adapter Ø19mm;https://shop.ferronato.ch/images/product/large/7985.png;Präzisions-Adapter-Set, ersetzt herkömmliche Spannzangen an Proxxon-Winkelgravierern und Mini-Schleifern und verhindert deren Durchrutschen. Verkürzte Bauform reduziert Werkzeugüberhang und schont die Kugellager, sorgt für perfekte Zentrierung. Passend für Distar-Trennscheiben und Schleiftöpfe mit 5.8 mm und 9.6 mm Bohrung.;Verhindert das Durchrutschen von Spannzangen und schont die Maschinenlager.;Passend für Proxxon LWB/LWH/WP-Modelle, Preis CHF 19.50.;https://shop.ferronato.ch/de/product/7985/distar-support-adapter-19mm?CatID=216;Plattenleger;19.5;032-758;ab Lager;DISTAR Technik;Präzisionszubehör für Proxxon-Systeme, ergänzendes Nischenteil.
02 Schneiden & Trennen;Kleintrennscheiben & Graviergeräte;;2;Diamant Trenn- und Schleifscheibe Ø 30 mm M14;https://shop.ferronato.ch/images/product/large/5993.png;Diamant Trenn- und Schleifscheibe mit vakuumgelöteten Diamanten, Ø30 mm, Höhe über alles 40 mm, Aufnahme M14, Trockenanwendung.;Kleine Trenn- und Schleifscheibe für filigrane Bearbeitung an Ecken und Kanten.;Auch als Ø40 mm Version erhältlich.;https://shop.ferronato.ch/de/product/5993/diamant-trenn-und-schleifscheibe-30-mm-m14?CatID=216;Plattenleger;16.0;031-952;ab Lager;Plattenleger (Hauptkategorie);Nützliches Kleinwerkzeug für Detailarbeiten, kein Standardartikel.
02 Schneiden & Trennen;Kleintrennscheiben & Graviergeräte;;2;Diamant Trenn- und Schleifscheibe Ø40 mm M14;https://shop.ferronato.ch/images/product/large/5994.png;Diamant Trenn- und Schleifscheibe mit vakuumgelöteten Diamanten, Ø40 mm, Höhe über alles 40 mm, Aufnahme M14, Trockenanwendung.;Kleine Trenn- und Schleifscheibe für filigrane Bearbeitung an Ecken und Kanten.;Auch als Ø30 mm Version erhältlich.;https://shop.ferronato.ch/de/product/5994/diamant-trenn-und-schleifscheibe-40-mm-m14?CatID=216;Plattenleger;18.4;031-954;ab Lager;Plattenleger (Hauptkategorie);Nützliches Kleinwerkzeug für Detailarbeiten, kein Standardartikel.
02 Schneiden & Trennen;Kleintrennscheiben & Graviergeräte;;2;KGS Kleintrennscheibe ø 50/75 mm x  Ø 6 mm;https://shop.ferronato.ch/images/product/large/1370.png;KGS Kleintrennscheibe, gesintert, zwei Durchmesser 50 und 75 mm, Aufnahme 6 mm ohne Schaft, dieser ist separat zu bestellen.;Gesinterte Kleintrennscheibe für feine Trennarbeiten.;Durchmesser 50 mm oder 75 mm, Schaft separat, ab CHF 64.00.;https://shop.ferronato.ch/de/product/1370/kgs-kleintrennscheibe-50-75-mm-x-6-mm?CatID=216;Plattenleger;64.0;;;Diamantwerkzeuge, Diamanttrennscheiben 45mm -125mm;Nischenprodukt für kleine Trennarbeiten, seltener Bedarf.
