Sparte;Hauptkategorie (neu);Unterkategorie (neu);Top-Rang;Relevanz 1-5;Produktname;Bild;Beschreibung (max. 500 Zeichen);Feature / USP (Hauptbotschaft);Sekundäre Information;Link Ferronato-Shop;Preis CHF exkl. MwSt;Art.-Nr.;Verfügbarkeit;Alte Shop-Kategorien;Begründung Top
Autogewerbe;04 Schleifen, Kanten & Polieren;Politur & Polierpads;1;4;FLEX PC-M 250 Politur;https://shop.ferronato.ch/images/product/large/7573.jpg;Politur zur Beseitigung tiefer Kratzer und starker Gebrauchsspuren sowie zur Aufbereitung verwitterter Lacke, geeignet für Anschliffe bis P1500. Für alle Lackarten inklusive UV-Lacke, Bootsrümpfe und Polycarbonat. Frei von Silikonen, Wachsen und Lösungsmitteln, optimal mit rotativer Bearbeitung und rotem Polierschwamm.;Politur gegen tiefe Kratzer, geeignet für alle Lackarten.;Frei von Silikonen und Wachsen, für Anschliffe bis P1500.;https://shop.ferronato.ch/de/product/7573/x;21.0;050-532-415;ab Lager;Auto Produkte > Aufbereitung- & Pflege;FLEX PC-M 250 Politur, meistgekauftes Verbrauchsmaterial im Polierprozess
Autogewerbe;04 Schleifen, Kanten & Polieren;Politur & Polierpads;2;4;FLEX Polierschwamm Ø150/160mm PP-M 150;https://shop.ferronato.ch/images/product/large/7575.jpg;Universal-Polierschwamm aus reissfestem, langlebigem Schaum, geeignet für mittelstark verkratzte Lacke, Gebrauchsspuren und Farbauffrischung bei gebrauchten Lacken in einem Arbeitsschritt. Durchmesser 160 mm für Stützteller 150 mm, Farbe Violett, Verpackung 2 Stück.;Violetter Polierschwamm für Farbauffrischung in einem Schritt.;Ø160mm für Stützteller 150mm, Verpackung 2 Stück.;https://shop.ferronato.ch/de/product/7575/x;44.0;050-532-402;ab Lager;Auto Produkte;FLEX Polierschwamm PP-M 150, regelmässiger Nachkauf
Autogewerbe;04 Schleifen, Kanten & Polieren;Politur & Polierpads;3;4;FLEX Mikrofaser-Polierpad ø160 für Auto-Lack grob;https://shop.ferronato.ch/images/product/large/7570.jpg;Mikrofaser-Polierpad für hohen Abtrag mit Exzenterpolierern, wirkungsvoller als ein Standard-Fellpad. Sandwich-Aufbau mit zusätzlicher fester Schaumschicht für mehr Steifigkeit, kein Interface nötig. Für Wassertropfen, Orangenhaut, Staubeinschlüsse, Teerflecken, Kratzer und Vogelkot. Ø160mm, Höhe 10 mm.;Mikrofaser-Polierpad für hohen Materialabtrag ohne Interface.;Ø160mm, Höhe 10 mm, für Exzenterpolierer.;https://shop.ferronato.ch/de/product/7570/x;22.0;050-434-434;ab Lager;Auto Produkte > Aufbereitung- & Pflege;FLEX Mikrofaser-Polierpad 160 mm grob für Defektkorrektur
Autogewerbe;04 Schleifen, Kanten & Polieren;Politur & Polierpads;4;4;AKEMI 1S Super Fine Polish 1KG;https://shop.ferronato.ch/images/product/large/3284.jpg;AKEMI 1S Super Fine Polish, 1 kg, vielseitige Hochglanzpolitur auf Basis weiterentwickelter Pulvertechnologie. Fein schleifende Politur zur Beseitigung feiner Kratzer, Schlieren, Grauschleier und Hologrammen.;Feinschleifende Politur gegen Kratzer und Hologramme.;Gebinde 1 kg.;https://shop.ferronato.ch/de/product/3284/x;79.0;021-100;Nicht an Lager;Auto Produkte > Lackierung > Polituren;AKEMI 1S Super Fine Polish für den Feinschliff
Autogewerbe;04 Schleifen, Kanten & Polieren;Politur & Polierpads;;4;FLEX Polierfell Premium ø160;https://shop.ferronato.ch/images/product/large/7574.jpg;Polierfell aus 90% Naturwolle und 10% Polyester für hohe Standzeit und Volumen, poliert Schleifriefen rund 30% schneller aus als ein Schwamm. Ideal für UV-Lacke und kratzbeständige Lacke. Sandwich-Aufbau mit zusätzlicher Schaumschicht für Dämpfung und Steifigkeit. Ø160mm.;Naturwoll-Polierfell für 30% schnellere Politurergebnisse.;Ø160mm, 90% Naturwolle, für UV- und kratzbeständige Lacke.;https://shop.ferronato.ch/de/product/7574/x;28.0;050-376-523;Nicht an Lager;Auto Produkte > Aufbereitung- & Pflege;Verbrauchsmaterial mit regelmässigem Nachkauf
Autogewerbe;07 Reinigen, Schützen & Reparieren;Fahrzeugtrocknung & Detailing;;3;FLEX Brush-Set Tellerbürste für Auto-Lack grob;https://shop.ferronato.ch/images/product/large/7571.jpg;Set aus drei Tellerbürsten (Ø50, 75, 100 mm) zur Reinigung empfindlicher Textil- und Kunststoffoberflächen, mit extra weichen, säure- und laugenbeständigen Borsten. Formstabiles Material und Sechskantaufnahme gegen Durchrutschen im Bohrfutter.;Bürsten-Set für schonende Reinigung von Textil- und Kunststoff.;Drei Grössen Ø50/75/100mm, Sechskantaufnahme.;https://shop.ferronato.ch/de/product/7571/x;53.0;050-530-875;ab Lager;Auto Produkte > Karosseriebau;Nischenzubehör für Aufbereitung
Autogewerbe;07 Reinigen, Schützen & Reparieren;Fahrzeugtrocknung & Detailing;;2;FLEX BW 18-EC / Detailing Set zur Fahrzeugtrocknung 18V;https://shop.ferronato.ch/images/product/large/7262.jpg;Akku-Gebläse 18 V mit Flach- und Reduzierdüse zur rückstandsfreien Fahrzeugtrocknung sowie für Detailing-Arbeiten in Ritzen und Kanten. 3-stufige Luftmengenregulierung, bürstenloser Motor, auch als Laubbläser nutzbar. Betrieb mit allen FLEX-18V-Akkus, Lieferung ohne Akku und Ladegerät.;Akku-Gebläse-Set für rückstandsfreie Fahrzeugtrocknung.;"Inkl. Flach- und Reduzierdüse, Verlängerungsrohr, Ansaugfilter; ohne Akku.";https://shop.ferronato.ch/de/product/7262/x;165.0;050-470;ab Lager;Auto Produkte;Maschine, kein regelmässiges Nachkaufprodukt.
Autogewerbe;07 Reinigen, Schützen & Reparieren;Fahrzeugtrocknung & Detailing;;2;FLEX BW 18.0 EC Gebläse;https://shop.ferronato.ch/images/product/large/6954.jpg;FLEX BW 18.0 EC Akku-Gebläse zur Fahrzeugtrocknung, bürstenlos, Luftmengenregulierung in 3 Stufen. Kompakt und leicht, mit Adapter und Reduzierdüsen auch zum Aufblasen nutzbar, alternativ als Laubbläser. Max. Volumenstrom 3.11m³/min, Luftgeschwindigkeit 80m/s, Gewicht ohne Akku 1.2kg. Lieferung ohne Akku und Ladegerät, inkl. 3 Düsen.;Akku-Gebläse zur Fahrzeugtrocknung, auch als Laubbläser nutzbar.;Ohne Akku/Ladegerät, inkl. 3 Düsen und Reduzieradapter.;https://shop.ferronato.ch/de/product/6954/x;150.0;050-388;ab Lager;Elektrogeräte;Vielseitiges Zusatzgerät, seltener Nachkauf
Autogewerbe;07 Reinigen, Schützen & Reparieren;Kleb- & Dichtstoffe;5;4;AKEMI PR Speed 1Min 50ml Kart.;https://shop.ferronato.ch/images/product/large/3318.jpg;AKEMI PR Speed 1Min, 50 ml Kartusche, lösemittelfreier 2K-PU-Klebstoff mit hoher Chemikalien-, Witterungs- und Alterungsbeständigkeit. Zum Verbinden und Reparieren von Metall, Holz, Stein und Beton sowie zur Reparatur zerbrochener Kunststoffteile.;Schnellhärtender 2K-PU-Klebstoff, aushärtet in 1 Minute.;50 ml Kartusche, lösemittelfrei.;https://shop.ferronato.ch/de/product/3318/x;35.0;021-092;Nicht an Lager;Auto Produkte > Karosseriebau > Kleb- und Dichtstoffe;AKEMI PR Speed 1 Min, schnelle Klebeverbindung
Autogewerbe;07 Reinigen, Schützen & Reparieren;Kleb- & Dichtstoffe;;4;AKEMI Kleber für Kunsstoffteile;https://shop.ferronato.ch/images/product/large/3256.jpg;AKEMI Kleber für Kunststoffteile, 50 ml Kartusche, lösungsmittelfreier Zweikomponentenkleber auf Epoxidbasis (1:1), schnell härtend. Zum Kleben von Stossstangen, Spoilern und anderen Kunststoffteilen an PKW, LKW, Motorrädern, Booten und Caravans.;2K-Epoxidkleber speziell für Kunststoffteile am Fahrzeug.;50 ml Kartusche, Mischverhältnis 1:1.;https://shop.ferronato.ch/de/product/3256/x;24.6;021-090;ab Lager;Auto Produkte > Karosseriebau > Reparatursystem für Kunststoffteile;Systemzubehör im Reparaturbetrieb, moderater Nachkauf.
Autogewerbe;07 Reinigen, Schützen & Reparieren;Kleb- & Dichtstoffe;;4;AKEMI Super Glue Activator;https://shop.ferronato.ch/images/product/large/3330.jpg;AKEMI Super Glue Activator, 150 ml Sprühdose, Aushärtungsbeschleuniger für Cyanacrylat-Klebstoffe, verkürzt die Fixierzeit erheblich. Zur schnellen Fixierung von Metall, Glas, Kunststoff und weiteren Materialien.;Beschleuniger für schnelle Fixierung von Sekundenklebstoff.;Sprühdose 150 ml.;https://shop.ferronato.ch/de/product/3330/x;34.8;021-052;ab Lager;Auto Produkte > Karosseriebau > Kleb- und Dichtstoffe;Systemzubehör zum Sekundenkleber, moderater Nachkauf.
Autogewerbe;07 Reinigen, Schützen & Reparieren;Reiniger & Entfetter;3;4;AKEMI® ACRYCLEAN;https://shop.ferronato.ch/images/product/large/3337.jpg;AKEMI Acryclean, 1000 ml, Siliconentferner auf Basis hochreiner Lösungsmittel. Entfernt gründlich Fett, Öl, Silikon, Wachse, Baumharz, Aufkleber und Klebstoffreste vor Klebe- und Lackierarbeiten.;Hochreiner Siliconentferner vor Kleben und Lackieren.;Gebinde 1000 ml.;https://shop.ferronato.ch/de/product/3337/x;38.5;021-064;ab Lager;Auto Produkte > Arbeitsschutz + Werkstatt;AKEMI ACRYCLEAN, Standard-Entfetter vor dem Lackieren
Autogewerbe;07 Reinigen, Schützen & Reparieren;Reiniger & Entfetter;;4;AKEMI Paint And Carbon Strippe;https://shop.ferronato.ch/images/product/large/3345.jpg;AKEMI Paint and Carbon Stripper, 400 ml Spraydose, anhaftender Schaum auch auf vertikalen Flächen. Löst chemische Dichtungen, Kork- und Fiberdichtungen, reinigt Turbolader. Entfernt Kohlenstoffablagerungen, Dicht- und Klebstoffe sowie Unterbodenschutz und Lack.;Haftender Abbeizer entfernt Kohlenstoff, Kleb- und Dichtstoffe.;Spraydose 400 ml, ADR-pflichtig.;https://shop.ferronato.ch/de/product/3345/x;26.8;021-104;ab Lager;Auto Produkte > Karosseriebau > Entfetter & Klebstoffentferner;Verbrauchsmaterial in der Werkstattpraxis, moderater Nachkauf.
Autogewerbe;07 Reinigen, Schützen & Reparieren;Reiniger & Entfetter;;4;AKEMI afin® ACRYCLEAN Spray;https://shop.ferronato.ch/images/product/large/3338.jpg;AFIN Acryclean Spray, 500 ml Sprühflasche, Siliconentferner auf Basis hochreiner Lösungsmittel. Entfernt gründlich Fett, Öl, Silikon, Wachse, Baumharz und Klebstoffreste vor Klebe- und Lackierarbeiten, auch als allgemeiner Entfetter einsetzbar.;Sprühbarer Siliconentferner vor Kleben und Lackieren.;Sprühflasche 500 ml.;https://shop.ferronato.ch/de/product/3338/x;25.5;021-066;ab Lager;Auto Produkte > Arbeitsschutz + Werkstatt;Verbrauchsmaterial in der Vorbehandlung, moderater Nachkauf.
Autogewerbe;07 Reinigen, Schützen & Reparieren;Reiniger & Entfetter;;4;AKEMI afin® Brake Parts Cleaner;https://shop.ferronato.ch/images/product/large/3339.jpg;AKEMI/AFIN Brake Parts Cleaner, 750 ml Sprühflasche mit Hochdrucksprühstrahl, ohne Tetrachlormethan, schont Gummi- und Kunststoffteile, sprüht in allen Lagen (360°). Entfernt Staub, Schmutz und Öl von Bremsscheiben, Belägen, Zylindern und Kolben.;360°-Bremsenreiniger, schont Gummi- und Kunststoffteile.;Sprühflasche 750 ml, 360°-Ventil.;https://shop.ferronato.ch/de/product/3339/x;13.8;021-068;ab Lager;Auto Produkte > Aufbereitung- & Pflege > Reiniger;Verbrauchsmaterial in der Werkstattpraxis, moderater Nachkauf.
Autogewerbe;07 Reinigen, Schützen & Reparieren;Reiniger & Entfetter;;4;Innotec Schaum Glas Reiniger Plus 500ml;https://shop.ferronato.ch/images/product/large/6346.jpg;Lebensmitteltauglicher Schaumglasreiniger, NSF-registriert (Food Safe), entfernt schlierenfrei Fett, Staub, Insektenreste und Nikotinbeschlag von Glas, Plexiglas und transparentem Kunststoff. Läuft nicht von vertikalen Flächen, greift Armaturenbretter und lackierte Oberflächen nicht an. Praktische Sprühdose, 500 ml.;NSF-registrierter Schaumglasreiniger, schlierenfrei.;Läuft nicht von vertikalen Flächen, für Innen und Aussen.;https://shop.ferronato.ch/de/product/6346/x;23.1;021-035;ab Lager;Auto Produkte > Aufbereitung- & Pflege;Pflegeverbrauchsmaterial mit moderatem Nachkauf.
Autogewerbe;07 Reinigen, Schützen & Reparieren;Rostlöser & Pflegesprays;4;4;BRUNOX(R) TURBO-SPRAY(R) 500ml POWER-CLICK;https://shop.ferronato.ch/images/product/large/7577.png;Rostlöser und Kriechöl mit Schmier-, Korrosionsschutz- und Reinigungswirkung, silikon- und PTFE-frei. Bildet einen dünnen, transparenten Korrosionsschutzfilm, verdrängt Feuchtigkeit, löst festsitzende Verbindungen und entfernt Teer- und Klebereste ohne Lack anzugreifen. Inhalt 500 ml.;Silikonfreier Rostlöser mit Kriechöl- und Korrosionsschutzwirkung.;Inhalt 500 ml, Power-Click-Sprühkopf.;https://shop.ferronato.ch/de/product/7577/x;12.0;022-000;ab Lager;Auto Produkte > Mechanik;BRUNOX Turbo-Spray, Dauerbrenner in jeder Werkstatt
Autogewerbe;07 Reinigen, Schützen & Reparieren;Rostlöser & Pflegesprays;;4;AKEMI Ceramic Grease Spray;https://shop.ferronato.ch/images/product/large/3367.jpg;AKEMI Ceramic Grease Spray, 400 ml Spraydose, Hochtemperatur-Schmiermittel mit hoher Wärmeleitfähigkeit für Bremsen, Auspuff und Krümmer. Verhindert Festbrennen, Festfressen und Korrosion, metallfrei und beständig von -40 bis +1200°C, auch einzeln oder in 12er-Box erhältlich.;Metallfreies Hochtemperaturfett gegen Festfressen bis 1200°C.;Spraydose 400 ml, auch in 12er-Box.;https://shop.ferronato.ch/de/product/3367/x;20.8;021-096;ab Lager;Auto Produkte > Mechanik > Wartung & Reparatur;Verbrauchsmaterial in der Wartung, moderater Nachkauf.
Autogewerbe;07 Reinigen, Schützen & Reparieren;Rostlöser & Pflegesprays;;4;AKEMI Spray Silicone Grease;https://shop.ferronato.ch/images/product/large/5975.jpg;AKEMI Spray Silicone Grease, Schmiermittel auf Silikonölbasis mit inerten Füllstoffen. Isoliert und schützt Elektrik vor Korrosion, verhindert das Festkleben von Gummis und schützt diese bis -40°C vor Einfrieren. Für Mechanik-Wartung, Reparatur und Elektroreparatur. Entzündbares Aerosol, Sicherheitshinweise beachten.;Silikon-Schmierspray zum Schutz von Elektrik und Gummidichtungen.;Schützt bis -40°C vor Einfrieren, verhindert Festkleben von Gummis.;https://shop.ferronato.ch/de/product/5975/x;27.9;021-097;ab Lager;Auto Produkte > Mechanik;Pflegemittel mit regelmässigem Nachkauf
Autogewerbe;07 Reinigen, Schützen & Reparieren;Spachtelmassen;1;4;AKEMI Easy Filler Green 1,6 KG;https://shop.ferronato.ch/images/product/large/3312.jpg;AKEMI Easy Filler Green, 1.6 kg, leichter cremiger Multifunktionsspachtel mit guter Ziehfähigkeit, hohem Standvermögen und leichter Schleifbarkeit (bis 20% höheres Abtragsvolumen), nahezu porenfrei. Für die professionelle Reparatur von Beulen, Kratzern und Rissen in Karosserieteilen.;Leichter Multifunktionsspachtel mit 20% mehr Abtragsvolumen.;Gebinde 1.6 kg, nur für Fachanwender.;https://shop.ferronato.ch/de/product/3312/x;52.5;021-080;ab Lager;Auto Produkte > Karosseriebau > Spachtelmassen;AKEMI Easy Filler Green, meistgenutzte Karosseriespachtel
Autogewerbe;07 Reinigen, Schützen & Reparieren;Spachtelmassen;2;4;AKEMI Poly-Faser Spachtel 1000g;https://shop.ferronato.ch/images/product/large/6914.jpg;AKEMI Poly-Faser Spachtel 1000g mit Glasfasern und speziellem Haftzusatz für hohe Eigenstabilität. Zur Reparatur durchgerosteter Blech-Karosserieteile ohne Zusatz von Gewebe.;Glasfaser-Spachtel für durchgerostete Karosserieteile, ohne Gewebe.;Gebinde 1000g, Einsatz Karosseriebau/Lackierung.;https://shop.ferronato.ch/de/product/6914/x;29.0;021-160;ab Lager;Auto Produkte > Karosseriebau > Spachtelmassen;AKEMI Poly-Faser Spachtel für tragende Reparaturen
Autogewerbe;07 Reinigen, Schützen & Reparieren;Spachtelmassen;;4;AKEMI Feinspachtel hochweiss;https://shop.ferronato.ch/images/product/large/4540.jpg;AKEMI Feinspachtel hochweiss mit Härter, sehr feiner cremiger Spachtel für porenfreie Oberflächen und hohe Farbbeständigkeit. Zur Ausbesserung kleiner Unebenheiten an Karosserien, Caravans, Kunststoffbooten und Holz sowie zum Glätten von Schleifspuren. Erhältlich in 0.25, 0.5 und 1 kg.;Feiner Ausbesserspachtel für porenfreie Karosserieoberflächen.;Erhältlich in 0.25, 0.5 und 1 kg.;https://shop.ferronato.ch/de/product/4540/x;13.5;;;Aufbearbeitung von Böden + mehr;Verbrauchsmaterial mit mittlerem Nachkauf im Karosseriebau.
Autogewerbe;07 Reinigen, Schützen & Reparieren;Spachtelmassen;;4;AKEMI Füll Ziehspachtel.Nr.4 250-2000 Gramm;https://shop.ferronato.ch/images/product/large/4708.jpg;AKEMI Füll- und Ziehspachtel Nr. 4, Basisspachtel für vielfältige Anwendungen, 0.25-2 kg, styrolfrei. Zur Reparatur grober Unebenheiten und tiefer Beulen in einem Arbeitsgang.;Basisspachtel für grobe Unebenheiten und Beulen, styrolfrei.;Erhältlich in 250 g, 1000 g und 2000 g.;https://shop.ferronato.ch/de/product/4708/x;12.1;;;Auto Produkte > Karosseriebau > Spachtelmassen;Verbrauchsmaterial mit mittlerem Nachkauf im Karosseriebau.
Autogewerbe;07 Reinigen, Schützen & Reparieren;Spachtelmassen;;4;AKEMI Kunststoff - Spachtel 1000g;https://shop.ferronato.ch/images/product/large/6915.jpg;AKEMI Kunststoff-Spachtel 1000g, sehr cremig mit sehr guter Haftung auf Kunststoffteilen, leicht schleifbar. Zur Ausbesserung kleiner Unebenheiten und Kratzer in Kunststoffen.;Cremiger Spachtel für Kunststoffteile, leicht schleifbar.;Gebinde 1000g, Einsatz Karosseriebau/Lackierung.;https://shop.ferronato.ch/de/product/6915/x;37.5;021-166;ab Lager;Auto Produkte > Karosseriebau > Spachtelmassen;Verbrauchsmaterial Karosseriebau, regelmässiger Nachkauf
Autogewerbe;09 Maschinen & Energie (Akku, 230 V, Druckluft, Benzin);Batterieladegeräte;;2;Batterie-Ladegerät 12V;https://shop.ferronato.ch/images/product/large/6068.jpg;Batterie-Ladegerät 12V für SLA-, AGM-, WET-, GEL- und Li-Akkus, Akku-Leistung 12V/1.2Ah bis 12V/120Ah. 7-stufige Ladung für nahezu 100% Kapazität, Schutz gegen Staub und Wasser. Energieverbrauch 60W, Betriebsspannung 220-240V, Ladestrom max. 3.8A, Pulse-Erhaltungsladung.;7-Stufen-Ladegerät für 12V-Blei-Akkus von Vakuum-Verlegegeräten.;6/12V, max. 3.8A Ladestrom, für SLA/AGM/WET/GEL/Ca-Ca/Li.;https://shop.ferronato.ch/de/product/6068/x;144.0;130-102;ab Lager;GALA+Tiefbau+Renovation > PROBST für den GaLa-Bau > Vakuum-Verlegesysteme > Vakuum-Verlegung maschinell;Zubehör, seltener Kauf
Autogewerbe;11 Baustellen- & Werkstattbedarf;Werkzeugsets KFZ;;2;"FLEX IPS D17-21 1/2"" Schlagnuss-Set";https://shop.ferronato.ch/images/product/large/8064.jpg;Schlagnuss-Set 1/2 Zoll mit Ø17, 19, 21 mm für Schlagschrauber, PET-Schutz gegen Kratzer an Alufelgen. Aus legiertem Stahl, farbcodiert, Box passend zum FLEX STACK PACK System.;Schlagnuss-Set für Alufelgen mit Kratzschutz.;Ø17/19/21 mm, STACK-PACK-kompatible Box.;https://shop.ferronato.ch/de/product/8064/x;52.0;050-766;Nicht an Lager;Elektrogeräte;Zubehör-Set, kein regelmässiger Nachkauf.
